"id","beds"
31,75
37,25
52,8
63,10
66,15
75,33
76,20
85,14
86,14
92,20
93,20
94,17
95,16
96,16
97,35
98,15
99,15
100,40
101,20
102,8
103,175
104,14
105,22
106,15
107,20
108,15
109,16
110,30
111,20
112,15
113,12
114,15
115,30
116,15
117,30
118,15
119,6
120,14
121,28
122,8
123,12
